Country,Name,Weather,Temp,Humidity,Rain,Visibility,Wind speed,Clouds
JP,Tokyo,Clouds,283.3,43,,10000,5.66,75
ID,Pecenongan,Clouds,299.01,86,,6000,1.54,40
IN,New Delhi,Smoke,296.25,43,,2200,0.0,40
CN,Guangzhou,Clear,295.07,44,,10000,2.04,9
IN,Konkan Division,Smoke,304.15,62,,3000,3.09,40
PH,Quiapo District,Rain,297.68,92,0.14,9000,1.79,75
CN,Xuhui,Clear,284.95,78,,10000,4.0,0
BR,Liberdade,Clouds,290.17,83,,10000,4.63,75
KR,Seoul,Clear,270.77,59,,10000,1.54,0
MX,Mexico City,Clear,283.09,87,,10000,0.0,0
EG,Al ‘Atabah,Clouds,299.48,21,,6000,7.2,40
US,City Line,Clouds,272.62,62,,10000,2.57,20
BD,Sāmāir,Haze,300.13,54,,3500,0.0,20
CN,Beijing,Clouds,267.07,24,,10000,1.41,53
IN,Kolkata,Haze,299.12,61,,3200,2.06,40
TH,Nonthaburi,Clouds,300.54,66,,10000,1.95,97
CN,Gangxia,Clear,294.67,74,,10000,0.89,9
RU,Moscow,Clouds,267.42,93,,10000,2.11,90
AR,San Nicolas,Clear,293.2,68,,10000,3.09,0
NG,Lagos,Clouds,302.69,67,,10000,4.29,70
TR,Istanbul,Clear,290.15,63,,10000,7.72,0
PK,Karachi,Haze,302.23,21,,2500,6.17,75
IN,Kanija Bhavan,Clouds,295.9,94,,6000,3.09,40
VN,Ho Chi Minh City,Clouds,302.1,84,,8000,1.03,40
JP,Osaka,Clouds,281.57,64,,10000,4.63,40
CN,Chengdu,Clear,290.03,60,,10000,3.0,0
IR,Tehran,Haze,288.92,21,,3500,2.06,0
CD,Kinshasa,Rain,303.36,66,1.11,10000,4.12,75
BR,Rio de Janeiro,Clouds,298.09,58,,10000,3.6,75
IN,Park Town,Mist,301.49,83,,2300,4.12,75
CN,Lianhu,Clouds,273.63,55,,10000,1.09,51
PK,Lahore,Smoke,295.14,49,,4000,0.0,40
CN,Chongqing,Clouds,289.24,88,,10000,2.24,100
US,Beverly Hills,Clouds,283.47,82,,10000,2.06,75
CN,Baoding,Clouds,273.05,28,,10000,2.33,54
GB,London,Clear,278.71,67,,10000,5.14,6
FR,Paris 01 Louvre,Clouds,280.81,74,,10000,5.14,75
CN,Linyi,Clouds,279.38,70,,10000,2.03,100
CN,Dongguan,Clouds,295.08,51,,10000,2.31,26
IN,Hyderabad,Haze,299.38,57,,5000,3.6,75
CN,Tianjin Municipality,Clear,272.14,55,,10000,2.0,0
PE,Rímac,Clouds,291.38,82,,10000,2.57,100
CN,Wuhan,Clouds,284.14,43,,10000,5.04,37
CN,Nanyang,Clouds,280.89,32,,10000,1.28,100
CN,Sijiqing,Clouds,286.4,70,,10000,3.13,50
CN,Huanshi,Clear,299.18,41,,10000,1.98,10
JP,Nagoya,Clear,281.93,65,,10000,2.74,0
TW,Xianeibu,Drizzle,292.45,88,,10000,5.66,75
CN,Kuishan,Clouds,282.78,54,,10000,1.94,98
AO,Luanda,Clouds,303.15,66,,10000,3.6,75
CN,Zhoukou,Rain,278.96,57,0.67,10000,2.64,100
CN,Ganzhou,Clear,290.0,73,,10000,1.24,3
MY,Kuala Lumpur,Rain,300.52,90,0.56,10000,1.03,20
CN,Heze,Rain,276.0,82,1,10000,0.34,100
CN,Quanzhou,Clouds,290.76,65,,10000,3.79,93
US,Chicago,Clouds,271.22,62,,10000,0.89,100
CN,Nanjing,Clear,283.1,65,,10000,3.9,3
CN,Jining,Rain,276.46,87,1.54,10000,2.17,100
VN,Xom Pho,Clouds,297.12,66,,10000,4.45,74
IN,Pune,Clouds,300.11,57,,10000,2.39,83
CN,Fuyang,Clouds,281.42,60,,10000,4.86,91
IN,Ahmedabad,Smoke,302.17,37,,5000,5.66,78
ZA,Johannesburg,Clear,303.17,33,,10000,0.45,8
CO,Santa Barbara Central,Clouds,286.14,82,,10000,1.03,20
TZ,Dar es Salaam,Rain,301.09,76,0.83,10000,4.52,98
CN,Shenyang,Clouds,269.18,86,,4000,4.0,100
SD,Khartoum,Clouds,311.07,15,,10000,5.35,25
CN,Shangqiu,Rain,278.17,65,0.5,10000,2.32,100
CN,Cangzhou,Clouds,274.09,34,,10000,1.7,57
HK,Kowloon,Clouds,295.86,74,,10000,4.47,23
CN,Niangxi,Clouds,286.96,65,,10000,2.72,15
CN,Haitou,Clouds,295.41,77,,10000,7.54,72
CN,Yancheng,Clear,281.0,71,,10000,3.3,3
CN,Hengyang,Clear,287.47,66,,10000,2.34,2
SA,Al Khālidīyah,Clouds,297.36,36,,10000,3.98,76
CN,Zhumadian,Rain,279.04,62,0.55,10000,1.99,100
CL,Barrio Bellavista,Mist,291.48,63,,10000,3.6,0
CN,Xingtai,Clouds,275.84,33,,10000,2.74,69
BD,Chittagong,Haze,300.08,61,,4500,2.06,40
CN,Bijie,Clouds,286.24,88,,10000,3.25,63
CN,Shangrao,Clouds,284.95,73,,10000,1.97,15
CN,Zunyi,Clouds,285.67,87,,10000,2.62,100
IN,Surat,Clouds,304.09,51,,6000,2.57,20
ID,Surabaya,Clouds,300.12,78,,8000,2.57,40
CN,Fankou,Clouds,286.41,48,,10000,3.18,36
CN,Maoming,Clouds,293.51,77,,10000,4.65,15
CN,Nanchong,Clouds,287.99,87,,10000,2.74,100
CN,Xinyang,Rain,279.13,85,2.66,10000,2.74,100
ES,Madrid,Clear,287.5,53,,10000,1.03,0
IQ,Shūrīyah,Clear,294.12,37,,10000,3.09,0
CN,Qujing,Clear,284.95,64,,10000,2.52,3
CN,Jieyang,Clouds,293.11,74,,10000,1.41,44
SG,Tanglin Halt,Clouds,299.19,94,,10000,1.03,75
IN,George Town,Clear,295.78,24,,10000,1.13,0
CN,Liaocheng,Clouds,275.54,81,,10000,3.59,100
CN,Dalian,Rain,278.05,48,0.22,10000,3.0,20
CN,Yulin,Clear,294.76,58,,10000,0.99,1
CN,Changde,Clouds,285.29,40,,10000,4.86,83
CN,Qingdao,Clouds,279.94,70,,10000,2.0,75
CM,Akwa,Clouds,305.08,66,,10000,1.54,75
US,Miami,Clouds,295.01,94,,10000,3.6,20
CN,Xinxiang,Snow,274.96,52,,10000,2.25,86
CN,Huamu,Clear,284.91,79,,10000,4.0,0
CN,Xiangfan,Clouds,278.82,60,,10000,3.28,96
US,Dallas,Clouds,279.08,88,,10000,2.06,40
US,Houston,Clouds,282.35,86,,10000,6.69,20
CN,Zhengzhou,Clouds,275.41,30,,10000,1.6,97
CN,Lu'an,Clouds,284.51,58,,10000,2.06,21
CN,Dezhou,Clouds,275.32,42,,10000,3.02,91
CN,Jinan,Clouds,276.52,85,,10000,2.28,100
EG,Giza,Clouds,299.57,16,,10000,9.51,100
CN,Zhaotong,Clouds,282.82,90,,10000,4.17,18
CN,Chuntai,Clouds,284.53,77,,10000,0.72,36
KE,Nairobi,Clouds,297.0,58,,10000,5.14,75
MX,Guadalajara,Clear,278.01,75,,10000,0.0,0
US,Philadelphia,Clear,270.83,71,,10000,1.54,0
TR,Kolej,Clouds,285.29,74,,10000,5.14,75
CN,Tai’an,Clouds,275.14,96,,2269,1.45,100
CN,Dazhou,Clouds,286.22,85,,10000,2.09,100
CN,Langfang,Clouds,272.84,30,,10000,1.56,46
CN,Lengshuitan,Clear,288.9,64,,10000,2.25,6
CA,Don Mills,Clear,270.8,76,,10000,4.63,0
CN,Suihua,Clouds,257.33,93,,10000,2.4,100
RU,Aptekarskiy,Clouds,264.22,89,,9000,2.0,20
CN,Qiqihar,Clouds,261.07,78,,10000,3.04,100
CN,Suzhou,Clouds,282.78,59,,10000,2.41,78
MX,Monterrey,Clouds,288.11,71,,10000,1.07,82
BR,Belo Horizonte,Clear,296.84,65,,10000,6.69,0
CN,Shuangwang,Clouds,277.19,61,,10000,0.62,43
MM,Yangon,Haze,302.16,70,,6000,2.57,40
CN,Zhangzhou,Clouds,292.14,73,,10000,0.77,33
CN,Yuncheng,Clouds,274.16,50,,10000,1.16,36
CN,Qindu,Clear,273.73,74,,10000,0.0,0
CN,Guilin,Clouds,290.21,71,,10000,1.01,67
US,Fulton,Clouds,279.13,84,,10000,3.6,20
CN,Taizhou,Clear,282.57,67,,10000,4.33,0
IR,Kashan,Clouds,291.08,18,,10000,1.79,18
CN,Bozhou,Rain,279.65,61,0.28,10000,3.39,100
CI,Abidjan,Thunderstorm,298.09,94,0.36,8000,4.63,75
CN,Suqian,Clouds,281.08,63,,10000,3.55,15
CN,Huaihua,Clouds,285.97,66,,10000,2.13,70
CN,Ji’an,Clouds,286.39,70,,10000,2.46,18
CN,Xiaogan,Clouds,284.16,66,,10000,7.38,79
CN,Pingdingshan,Clouds,279.02,35,,10000,1.37,100
CN,Jiujiang,Clear,286.83,52,,10000,0.68,5
EG,Ash Shāţibī,Clouds,299.97,30,,10000,7.65,100
CN,Mianyang,Clouds,286.97,63,,10000,1.09,100
AU,Sydney,Rain,292.41,90,0.38,10000,2.06,40
CN,Kaifeng,Clouds,276.43,53,,10000,1.23,99
